Product ID;Attribute (Name:Type:Position)*;Value (Value:Position)*
1;Język napisów:select:0;Brak:0
2;Język napisów:select:0;Brak:0
3;Język napisów:select:0;Arabic:0
3;Język napisów:select:0;French:0
3;Język napisów:select:0;Portuguese (Portugal):0
3;Język napisów:select:0;Italian:0
3;Język napisów:select:0;Vietnamese:0
3;Język napisów:select:0;Korean:0
3;Język napisów:select:0;German:0
3;Język napisów:select:0;Russian:0
3;Język napisów:select:0;Spanish:0
4;Język napisów:select:0;Brak:0
5;Język napisów:select:0;Brak:0
6;Język napisów:select:0;Arabic:0
6;Język napisów:select:0;French:0
6;Język napisów:select:0;Portuguese (Portugal):0
6;Język napisów:select:0;Italian:0
6;Język napisów:select:0;Vietnamese:0
6;Język napisów:select:0;German:0
6;Język napisów:select:0;Russian:0
6;Język napisów:select:0;Spanish:0
7;Język napisów:select:0;Arabic:0
7;Język napisów:select:0;French:0
7;Język napisów:select:0;Portuguese (Portugal):0
7;Język napisów:select:0;Italian:0
7;Język napisów:select:0;Vietnamese:0
7;Język napisów:select:0;Korean:0
7;Język napisów:select:0;German:0
7;Język napisów:select:0;Russian:0
7;Język napisów:select:0;Spanish:0
8;Język napisów:select:0;Arabic:0
8;Język napisów:select:0;French:0
8;Język napisów:select:0;Portuguese (Portugal):0
8;Język napisów:select:0;Italian:0
8;Język napisów:select:0;Vietnamese:0
8;Język napisów:select:0;Korean:0
8;Język napisów:select:0;German:0
8;Język napisów:select:0;Russian:0
8;Język napisów:select:0;Spanish:0
9;Język napisów:select:0;Brak:0
10;Język napisów:select:0;Arabic:0
10;Język napisów:select:0;French:0
10;Język napisów:select:0;Portuguese (Portugal):0
10;Język napisów:select:0;Italian:0
10;Język napisów:select:0;Vietnamese:0
10;Język napisów:select:0;Korean:0
10;Język napisów:select:0;German:0
10;Język napisów:select:0;Russian:0
10;Język napisów:select:0;Spanish:0
11;Język napisów:select:0;Brak:0
12;Język napisów:select:0;Brak:0
13;Język napisów:select:0;Russian:0
13;Język napisów:select:0;Spanish:0
13;Język napisów:select:0;Arabic:0
13;Język napisów:select:0;French:0
13;Język napisów:select:0;Portuguese (Portugal):0
13;Język napisów:select:0;Italian:0
13;Język napisów:select:0;Vietnamese:0
13;Język napisów:select:0;German:0
14;Język napisów:select:0;Arabic:0
14;Język napisów:select:0;French:0
14;Język napisów:select:0;Portuguese (Portugal):0
14;Język napisów:select:0;Italian:0
14;Język napisów:select:0;Vietnamese:0
14;Język napisów:select:0;German:0
14;Język napisów:select:0;Russian:0
14;Język napisów:select:0;Spanish:0
15;Język napisów:select:0;Brak:0
16;Język napisów:select:0;Brak:0
17;Język napisów:select:0;Brak:0
18;Język napisów:select:0;Brak:0
19;Język napisów:select:0;English:0
20;Język napisów:select:0;Brak:0
21;Język napisów:select:0;Brak:0
22;Język napisów:select:0;Arabic:0
22;Język napisów:select:0;Portuguese (Portugal):0
22;Język napisów:select:0;Italian:0
22;Język napisów:select:0;Vietnamese:0
22;Język napisów:select:0;German:0
22;Język napisów:select:0;Russian:0
22;Język napisów:select:0;English:0
22;Język napisów:select:0;Spanish:0
23;Język napisów:select:0;Brak:0
24;Język napisów:select:0;Brak:0
25;Język napisów:select:0;Arabic:0
25;Język napisów:select:0;French:0
25;Język napisów:select:0;Portuguese (Portugal):0
25;Język napisów:select:0;Italian:0
25;Język napisów:select:0;Portuguese (Brazil):0
25;Język napisów:select:0;Vietnamese:0
25;Język napisów:select:0;German:0
25;Język napisów:select:0;Russian:0
25;Język napisów:select:0;Spanish:0
26;Język napisów:select:0;French:0
26;Język napisów:select:0;Portuguese (Portugal):0
26;Język napisów:select:0;Italian:0
26;Język napisów:select:0;Vietnamese:0
26;Język napisów:select:0;German:0
26;Język napisów:select:0;Russian:0
26;Język napisów:select:0;Spanish:0
26;Język napisów:select:0;Arabic:0
27;Język napisów:select:0;Arabic:0
27;Język napisów:select:0;French:0
27;Język napisów:select:0;Portuguese (Portugal):0
27;Język napisów:select:0;Italian:0
27;Język napisów:select:0;Vietnamese:0
27;Język napisów:select:0;German:0
27;Język napisów:select:0;Russian:0
27;Język napisów:select:0;Spanish:0
28;Język napisów:select:0;Brak:0
29;Język napisów:select:0;Arabic:0
29;Język napisów:select:0;French:0
29;Język napisów:select:0;Portuguese (Portugal):0
29;Język napisów:select:0;Chinese (China):0
29;Język napisów:select:0;Italian:0
29;Język napisów:select:0;Vietnamese:0
