ProductID;Image;Image alt;Name;Tags;Base price;Final price;Description;Discount percent;Available only online;Virtual product;Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Categories
0;/var/www/html/img/products/productImage0.jpg;Crash Course on Python;Crash Course on Python;Semantics,Data Structures,Programming Principles,Syntax,Python Programming,Computer Programming,Statistical Programming,Python Syntax And Semantics;424;521.52;|This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles;0;1;1;Długość kursu:39h:1|2;Other
1;/var/www/html/img/products/productImage1.jpg;Programming for Everybody (Getting Started with Python);Programming for Everybody (Getting Started with Python);Statistical Programming,Basic Programming Language,Programming Principles,Computer Programming,Python Programming,Syntax;437;537.51;This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.;0;1;1;Długość kursu:49h:1|2;Other
2;/var/www/html/img/products/productImage2.jpg;Python for Data Science, AI & Development;Python for Data Science, AI & Development;Mathematics,Software Testing,Mathematical Theory & Analysis,Computer Programming,Python Libraries,Programming Principles,Statistical Programming,Extract, Transform, Load,Python Programming,Theoretical Computer Science,Software Engineering,Computational Logic,Data Management,Numpy;18;22.14;Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the world’s most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries. ;10;1;1;Długość kursu:5h:1|2;Other
3;/var/www/html/img/products/productImage3.jpg;Python Basics;Python Basics;Python Syntax And Semantics,Python Programming,Semantics,Statistical Programming,Computer Programming,Syntax;386;474.78;"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.";0;1;1;Długość kursu:44h:1|2;Other
4;/var/www/html/img/products/productImage4.jpg;Основы программирования на Python;Основы программирования на Python;Algorithms,Data Analysis,Combinatorics,Probability & Statistics,Computer Programming,Geometry,Python Programming,Statistical Programming,Econometrics,Pycharm,DevOps,Theoretical Computer Science,Bayesian Statistics,Applied Mathematics,Business Analysis,Mathematics;304;373.92;Язык программирования Python является одним из самых простых в освоении и популярных языков программирования. Целью курса является изучение основных конструкций языка Python, которые пригодятся при решении широкого круга задач – от анализа данных до разработки новых программных продуктов.;0;1;1;Długość kursu:4h:1|2;Other,Algorithms,DevOps
5;/var/www/html/img/products/productImage5.jpg;Python and Statistics for Financial Analysis;Python and Statistics for Financial Analysis;Financial Data Analysis,Probability Distribution,Python Programming,Accounting,Analysis,Statistical Programming,General Statistics,Computer Programming,Data Analysis,Business Analysis,Probability & Statistics;138;169.74;Course Overview: https://youtu.be/JgFV5qzAYno;0;1;1;Długość kursu:48h:1|2;Other
6;/var/www/html/img/products/productImage6.jpg;Python Programming: A Concise Introduction;Python Programming: A Concise Introduction;Algorithms,Data Visualization,Mobile Development,Research and Design,Python Syntax And Semantics,Statistical Programming,Leadership and Management,Android Development,Syntax,Computer Vision,Software Testing,Data Structures,Deep Learning,Semantics,Artificial Neural Networks,Theoretical Computer Science,Entrepreneurship,Software Engineering,Python Programming,Computer Programming,Data Management,Applied Machine Learning,Machine Learning,Problem Solving,Computational Logic;455;559.65;The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.;0;1;1;Długość kursu:31h:1|2;Other,Algorithms,Deep Learning
7;/var/www/html/img/products/productImage7.jpg;Introduction to Python Programming;Introduction to Python Programming;Python Programming,Statistical Programming,Computer Programming;226;277.98;This course provides an introduction to programming and the Python language.  Students are introduced to core programming concepts like data structures, conditionals, loops, variables, and functions.  This course includes an overview of the various tools available for writing and running Python, and gets students coding quickly.  It also provides hands-on coding exercises using commonly used data structures, writing custom functions, and reading and writing to files. This course may be more robust than some other introductory python courses, as it delves deeper into certain essential programming topics.;0;1;1;Długość kursu:25h:1|2;Other
8;/var/www/html/img/products/productImage8.jpg;Introducción a la programación en Python I: Aprendiendo a programar con Python;Introducción a la programación en Python I: Aprendiendo a programar con Python;Statistical Programming,Computer Programming,Python Programming;17;20.91;Decía Steve Jobs que “todo el mundo debería aprender a programar un ordenador porque esto te ayuda a pensar”. Hoy en día la programación es una herramienta fundamental para el desarrollo de la tecnología moderna. Este curso te introduce en el mundo de la programación en el lenguaje Python. De una forma práctica, aprenderás de forma gradual desde el tratamiento básico de variables hasta la programación de algoritmos para construir tus propios juegos. Además, te familiarizarás con los conceptos fundamentales para el desarrollo de algoritmos y su programación. ;10;1;1;Długość kursu:45h:1|2;Other
9;/var/www/html/img/products/productImage9.jpg;Python Classes and Inheritance;Python Classes and Inheritance;Class (Computer Programming),Computer Program,Object-Oriented Programming,Programming Principles,Python Programming,Computer Programming,Inheritance (Object-Oriented Programming);134;164.82;"This course introduces classes, instances, and inheritance. You will learn how to use classes to represent data in concise and natural ways. You'll also learn how to override built-in methods and how to create ""inherited"" classes that reuse functionality. You'll also learn about how to design classes. Finally, you will be introduced to the good programming habit of writing automated tests for their own code.";0;1;1;Długość kursu:8h:1|2;Other
10;/var/www/html/img/products/productImage10.jpg;Introduction to Data Science in Python;Introduction to Data Science in Python;Programming Principles,Mathematics,Data Analysis,Python Programming,Pandas,Statistical Programming,Analysis,Mathematical Theory & Analysis,Extract, Transform, Load,Theoretical Computer Science,Computational Logic,Numpy,Computer Programming,Data Management;485;596.55;This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. ;0;1;1;Długość kursu:48h:1|2;Other
11;/var/www/html/img/products/productImage11.jpg;Learn to Program: The Fundamentals;Learn to Program: The Fundamentals;Semantics,Python Syntax And Semantics,Language,Problem Solving,Syntax,Business Analysis,Python Programming,Strategy and Operations,Critical Thinking,Statistical Programming,Computer Programming,Research and Design,Leadership and Management,Entrepreneurship;348;428.04;Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language.;0;1;1;Długość kursu:32h:1|2;Other
12;/var/www/html/img/products/productImage12.jpg;用Python玩转数据 Data Processing Using Python;用Python玩转数据 Data Processing Using Python;Data Analysis,Statistical Programming,Big Data,Python Programming,Data Management,Computer Programming;277;340.71;本课程 (Please click https://www.coursera.org/learn/python-data-processing for English version) 主要面向非计算机专业学生，从Python基本语法开始，到Python中如何从本地和网络上进行数据获取，如何解析和表示数据，再到如何利用Python开源生态系统SciPy对数据进行基础和高级的统计分析及可视化，包括数据探索和预处理的具体方法，到最后如何设计一个简单的GUI界面来表示和处理数据，层层推进。;0;1;1;Długość kursu:3h:1|2;Other
